Culture,Criticality,Criticality Modifier,Initial Known,InterDependency,Dynamism,Size,Plan,Team Size,Cost-,Score:,Completion+,Idle-
0.126146862,1.118100175,6,0.766597554,94,3,0,3,16,378.888464,0.948958636,0.875,0
0.112117597,0.882780759,2,0.896158096,99,8,0,4,17,133.9986321,0.922740364,0.916666667,0.153846154
0.13332196,1.001723196,5,0.79088108,83,7,0,0,11,313.9244533,0.953019747,1,0
0.13271065,0.831340572,7,0.872158692,95,1,0,4,14,305.787807,0.962131624,0.9375,0.0625
0.159326806,1.164743109,3,0.833130556,98,9,1,2,13,366.6217696,0.832016241,0.894736842,0.423728814
0.196546969,0.893793354,2,0.793827154,80,7,1,1,11,143.7257198,0.850665731,0.931034483,0.443298969
0.104345593,0.972014636,7,0.892753078,94,7,0,1,19,431.7113302,0.963348476,0.666666667,0
0.106607599,1.219335493,2,0.718994499,86,4,0,4,13,130.2207925,0.94748592,0.933333333,0.481481481
0.187772478,1.189053763,7,0.792985488,85,7,1,3,18,947.577528,0.835853564,0.958333333,0.372727273
0.130818947,1.199215616,6,0.614177873,87,5,1,1,18,810.5033403,0.917377449,0.891304348,0.316666667
0.12012943,1.215666253,5,0.712527088,99,7,0,3,17,509.4960597,0.938293222,0.769230769,0
0.150902683,1.114032609,6,0.695396325,94,1,0,4,12,423.981476,0.935221099,0.85,0.227272727
0.117709606,1.001397022,4,0.692979107,81,9,0,2,17,236.188043,0.95077574,0.833333333,0
0.170860635,0.87549554,7,0.713549511,86,4,0,2,13,415.3087724,0.934981366,0.9,0.55
0.128982736,1.078266532,7,0.669481413,80,9,0,4,12,564.4347113,0.897135263,0.9,0.181818182
0.132496094,0.888468368,6,0.656957944,86,9,0,4,12,251.100719,0.872069494,1,0.181818182
0.114934255,0.90708179,6,0.829317244,95,1,1,2,16,484.2418824,0.949326464,0.966101695,0.185714286
0.165662702,1.243190039,6,0.941459204,83,1,1,1,16,733.0152869,0.920392806,0.891304348,0.572916667
0.157618524,1.16079608,2,0.737572299,93,2,0,2,18,129.687512,0.991940228,0.875,0
0.153485228,1.184761576,3,0.687723331,82,5,0,1,18,227.1757962,0.919775211,0.904761905,0.321428571
0.153882549,1.187803957,4,0.941504395,91,9,1,2,17,405.3309298,0.925963527,0.704545455,0
0.160702119,0.906816794,7,0.669754515,96,9,0,2,10,359.7098811,0.885233157,0.818181818,0.181818182
0.125155906,1.096446088,4,0.790951531,87,6,1,2,14,412.648938,0.935782555,0.853658537,0.078947368
0.197524807,1.01024672,6,0.649040097,97,5,0,4,12,413.2717803,0.956878767,0.5,0
0.168486353,0.907416572,5,0.640529973,81,6,1,2,16,393.8300253,0.891258944,0.956521739,0.405405405
0.14407276,1.083826068,5,0.735411554,89,9,1,4,13,366.9486708,0.938469151,0.630769231,0
0.169732524,1.148198592,4,0.839011634,89,5,0,2,18,41.67728568,0.85593369,0.285714286,0
0.118892602,1.207660228,6,0.868068312,83,8,0,3,13,504.7414568,0.951940999,1,0.222222222
0.103007003,1.180558252,2,0.706125786,92,1,0,1,17,144.4165497,0.950451294,0.923076923,0.5
0.153529464,1.048044947,7,0.694701573,94,8,0,3,15,532.7419416,0.901902438,0.913043478,0.3
0.142299427,1.071682732,5,0.795437637,95,3,1,4,16,614.4464271,0.921466693,0.935483871,0.452830189
0.156647978,1.124737106,3,0.869887573,93,2,0,3,14,185.6355512,0.971998457,0.863636364,0.208333333
0.120184738,0.868198803,6,0.866104574,86,7,0,0,12,272.7884487,0.910225718,0.9,0.181818182
0.145646799,0.863431707,3,0.895338977,86,9,0,0,13,294.7669931,1,0.25,0
0.138272443,1.19594458,5,0.820149962,89,9,0,1,13,489.2894508,0.876141882,1,0.421052632
0.189421335,1.181513972,2,0.750095595,86,4,1,1,11,194.5472293,0.93252951,0.918032787,0.5
0.157350985,1.259613283,2,0.638725088,89,9,1,3,19,245.9425476,0.787911379,0.854166667,0.517647059
0.197892256,1.196827148,7,0.796900956,81,3,1,1,16,837.6041848,0.878548775,0.833333333,0.453125
0.124490717,1.235633825,7,0.689573599,90,6,0,4,11,723.1246212,0.942725256,0.916666667,0.352941176
0.126013988,1.126769602,7,0.636525492,89,6,0,0,18,631.1181953,0.908336274,1,0.384615385
0.174892427,1.192572683,7,0.620161489,89,1,0,1,11,587.8589761,0.936788241,0.9,0.571428571
0.102441517,1.009302564,6,0.710471371,91,7,1,3,12,517.76449,0.947064954,0.796875,0.177419355
0.114167086,1.195333759,7,0.864827444,86,3,0,0,19,621.0451835,0.957738983,0.736842105,0
0.121553849,1.241125364,3,0.609862694,88,7,1,3,10,288.5943457,0.902791395,0.930555556,0.220930233
0.106709494,0.866590274,3,0.630804764,82,8,1,4,19,249.0104267,0.958709634,0.814814815,0
0.183294336,1.248648109,4,0.814412816,96,3,0,2,12,249.1841718,0.912486516,0.857142857,0.538461538
0.136831562,0.898537138,2,0.731941112,84,4,0,0,15,101.8184153,0.960716463,0.923076923,0.454545455
0.185256594,1.050720537,3,0.819894867,81,1,0,1,13,185.6261618,0.943609896,0.909090909,0.444444444
0.189327359,0.927604348,6,0.724714463,89,9,1,3,15,429.9104879,0.836627405,0.886792453,0.381578947
0.163085695,0.918435014,4,0.924452759,82,4,0,2,14,220.559083,0.994556414,0.3,0
0.125190544,0.903003934,5,0.939736298,86,4,1,1,19,343.8459432,0.953123023,0.955555556,0.594339623
0.162073403,1.016864325,4,0.701653723,91,8,1,2,11,353.726527,0.870423941,0.87755102,0.218181818
0.186707594,0.980158171,3,0.947179493,93,5,0,2,10,140.6182265,0.945625616,0.875,0
0.147708483,1.19007604,7,0.928220361,84,8,1,0,15,887.4018368,0.914236127,0.869565217,0.069767442
0.19416301,1.159733962,4,0.838020422,86,9,0,0,17,240.3086728,0.904516418,0.75,0
0.149327148,1.160742249,7,0.850706603,85,6,1,2,19,856.3927628,0.930341414,0.906976744,0.093023256
0.126065777,1.064402473,4,0.871707118,95,9,1,3,10,427.489776,0.869368789,0.933333333,0.391304348
0.177287665,1.152022571,2,0.756814956,91,7,1,1,14,191.10358,0.923954181,0.8,0
0.120827098,1.017502154,4,0.603310407,89,9,0,0,16,228.1911574,0.817301614,0.909090909,0.166666667
0.111039808,0.882485599,2,0.94024157,98,8,1,3,16,211.3274535,0.955104307,0.884615385,0.148148148
0.173724622,0.886423856,4,0.701990836,92,3,0,2,14,228.0461648,0.943946503,0.875,0
0.111128372,1.003149775,2,0.719465177,84,4,1,3,17,199.6296314,0.949976157,1,0.5625
0.1091427,0.902539384,6,0.734906176,94,5,1,2,19,542.7699047,0.962854321,0.790697674,0
0.126061432,1.03496101,3,0.869246572,82,3,1,0,15,300.9014476,0.9139919,1,0.404494382
0.145199345,1.064549597,3,0.8303042,95,8,0,3,15,263.7510715,0.941626352,0.416666667,0
0.147496939,0.916332567,7,0.907300577,86,2,0,0,14,195.5591607,0.950626433,0.9,0.307692308
0.188760256,0.94902725,4,0.719667716,85,1,1,2,17,271.6478848,0.969121069,0.783783784,0
0.117193892,1.04811195,2,0.776974008,91,8,0,3,18,88.6597571,0.903471742,0.8,0.111111111
0.149252213,1.041574518,2,0.853995113,85,1,0,4,13,72.6947935,0.928227931,1,0.333333333
0.196963528,1.25531438,5,0.931135477,97,1,1,4,19,716.8074576,0.916199306,0.959183673,0.287878788
0.184324675,1.025810368,7,0.832385838,88,5,1,1,10,706.0236918,0.90590764,0.972972973,0.368421053
0.169102758,1.171339764,7,0.926772053,98,2,1,2,11,835.1183998,0.984094797,0.756097561,0
0.131600719,0.883190872,7,0.844310259,81,4,1,3,11,536.8009576,0.941091143,0.931034483,0.470588235
0.197836332,0.879706478,4,0.644819822,98,2,1,1,16,281.4829185,0.956343831,0.893333333,0.373831776
0.191111617,1.244862273,5,0.888167372,89,4,0,4,17,521.7705672,0.927019207,0.8,0
0.146883264,1.254077203,2,0.650120965,89,6,0,3,10,176.5560933,0.870191376,1,0.5
0.132053349,1.041289766,4,0.841241454,81,8,1,1,10,344.9077924,0.933702573,0.84375,0.495327103
0.139809895,1.181950387,7,0.87188888,83,9,1,4,15,999.7363294,0.831139537,0.96875,0.425925926
0.149261344,1.064300964,7,0.834666194,97,6,0,4,16,491.3775796,0.938825109,0.85,0
0.183944359,0.848764055,2,0.903525989,85,2,1,3,16,193.795951,0.949184121,0.964285714,0.46
0.157378756,1.037179614,5,0.845329962,97,6,0,4,15,304.6274943,0.96415021,0.722222222,0
0.15210225,1.111516318,4,0.890636725,97,5,1,4,13,365.4986017,0.960665895,0.384615385,0
0.122891677,1.236426211,6,0.728349043,95,8,1,0,15,726.6868748,0.871924061,0.935897436,0.324074074
0.104790155,0.88749988,3,0.851129191,94,7,0,3,14,234.2077728,0.960432306,0.857142857,0.142857143
0.157222995,1.228624914,3,0.777477192,99,2,0,3,11,175.4975763,0.975093534,0.875,0.416666667
0.105318288,1.101937569,3,0.6288235,90,6,0,3,11,178.565756,0.96337258,0.818181818,0.181818182
0.147597109,1.252176388,5,0.708326055,99,5,1,3,19,601.9319945,0.931112887,0.8,0.052631579
0.175773871,0.984133767,2,0.908995938,90,6,0,0,16,113.8910616,0.873648112,0.9,0.526315789
0.140604431,0.996391584,5,0.834063791,91,1,0,1,16,319.0314278,0.970750345,0.916666667,0.3125
0.170223643,1.005670936,3,0.643448923,93,2,1,2,16,244.2278889,0.967687891,0.910447761,0.37755102
0.114964336,1.195232207,5,0.60075562,93,9,0,4,16,369.6174094,0.928860557,1,0.3
0.106663876,1.142499326,6,0.743049263,88,1,0,4,14,428.9221789,0.975308977,0.8125,0.071428571
0.164372905,1.011649783,4,0.929337239,81,3,0,4,10,233.6912361,0.966652283,0.736842105,0
0.153421359,1.045413526,2,0.926149472,98,3,1,1,14,213.6262398,0.918002671,0.971428571,0.534246575
0.160319821,1.046788005,3,0.739962073,83,5,0,4,16,208.5874838,0.899999266,1,0.416666667
0.152412759,0.933282755,6,0.841707959,81,6,1,3,14,484.930006,0.895113677,0.945945946,0.485294118
0.197881388,0.906236355,4,0.850026569,96,3,1,1,14,317.1714174,0.907534114,0.971428571,0.595238095
0.119892379,0.843555022,5,0.698755473,88,6,0,4,10,256.3514476,0.975317699,0.4,0
0.100128305,1.175642979,3,0.741266654,90,4,1,4,13,282.9818305,0.937805362,0.833333333,0.386792453
0.173889859,1.184896855,3,0.913081604,82,4,0,0,11,214.3465674,0.952678617,1,0.384615385
0.146058563,0.854886519,6,0.882652942,83,3,0,4,17,267.5404982,0.884601962,0.916666667,0.52173913
0.193840392,0.913910439,3,0.691108022,82,7,1,0,12,232.0086029,0.873480256,0.947368421,0.162790698
0.131291606,1.164737586,7,0.868809314,90,6,0,2,13,493.0941775,0.92050953,0.857142857,0.6
0.128905534,0.869207935,5,0.834539844,82,9,0,0,16,214.5082573,0.858174281,1,0.55
0.16637075,1.13298284,7,0.818439509,92,4,0,4,11,539.4291412,0.947014597,0.8,0.225806452
0.186601559,0.899973982,7,0.776341,94,9,1,4,11,528.2051524,0.791471167,1,0.406593407
0.16014994,1.180570869,6,0.829847136,89,7,1,1,15,830.9653109,0.877288237,0.906976744,0.277777778
0.105165421,1.189224933,2,0.743798025,91,4,1,3,11,180.9823571,0.966895189,0.857142857,0.111111111
0.171814375,1.030812974,4,0.771927595,87,6,1,1,18,454.6948587,0.954507016,0.90625,0.194444444
0.196170114,1.227459757,2,0.863747608,97,5,1,3,17,272.2000891,0.839527352,0.972222222,0.444444444
0.121806053,1.129846576,5,0.703458245,81,5,0,1,19,387.2997949,0.912999514,0.875,0.363636364
0.121776044,0.960437602,3,0.935849872,85,7,0,4,17,114.920967,0.854568932,1,0.4375
0.162444779,0.880989888,5,0.830064863,80,9,0,0,12,253.3622911,0.932711161,0.764705882,0
0.146262116,1.051326311,2,0.654004937,82,7,1,0,12,212.5233592,0.934989899,0.714285714,0
0.162255806,1.128765974,7,0.870912088,90,9,0,4,15,594.597905,0.912240503,0.8,0.111111111
0.146139652,1.159121014,6,0.732586074,87,9,0,4,17,444.9129167,0.86894404,0.916666667,0.476190476
0.177864503,0.82568302,3,0.628190816,82,3,1,3,11,191.6812227,0.947068711,0.64516129,0
0.163562505,0.858664262,4,0.923664158,99,8,0,3,10,185.0065889,0.933864752,1,0.1
0.185117086,1.114618162,4,0.889293997,81,8,1,0,17,459.3954286,0.883123166,0.953488372,0.378787879
0.144950209,0.951754799,6,0.892784327,92,9,1,4,16,628.1134385,0.928154021,0.882352941,0
0.10326444,1.220696394,6,0.946490436,85,8,0,3,14,539.7415735,0.966260309,0.9,0.1
0.179967311,1.142882073,3,0.618403074,84,4,1,2,11,349.9284359,0.962959671,0.896551724,0.071428571
0.153216151,1.016580574,7,0.603089346,93,5,1,4,13,627.1720441,0.851458061,0.977272727,0.426666667
0.1647557,1.253454682,5,0.66817357,88,5,1,1,16,861.4846928,0.897388249,0.928571429,0.037037037
0.118420417,1.124344721,5,0.927750744,83,4,0,2,16,375.2888446,0.939685034,0.869565217,0.487179487
0.111856095,1.128688155,4,0.875484273,95,2,1,4,10,587.4861747,0.983825832,0.962962963,0.35
0.17412249,1.057938474,6,0.752883342,80,5,0,2,16,361.6429159,0.809994576,0.875,0.631578947
0.155845588,0.859432148,6,0.855209041,95,7,0,3,15,230.5065362,0.896234777,0.8125,0.235294118
0.147557764,1.17420575,5,0.854410868,84,8,1,3,18,563.0273467,0.867816272,0.965517241,0.50877193
0.133033014,1.025707725,6,0.649127172,98,5,1,2,14,603.2907534,0.92560273,0.87755102,0.12244898
0.196280961,0.898717681,6,0.709174863,91,6,0,1,14,284.8147356,0.858978421,0.875,0.666666667
0.1199124,0.873851233,6,0.616144285,88,5,0,1,19,295.3810578,0.927478452,1,0.588235294
0.145529439,0.852026615,7,0.840811689,93,7,1,4,19,463.1598056,0.852671193,0.984375,0.357142857
0.128373979,1.112375597,7,0.807790636,92,9,0,0,15,632.0954498,0.859257039,0.9,0.4375
0.191883897,0.919878249,3,0.677819792,99,7,1,0,17,225.5597468,0.803131706,0.817073171,0.247191011
0.156230925,0.982002961,4,0.6224508,80,2,0,3,12,248.8083083,0.990896322,0.888888889,0
0.10871264,1.015894013,5,0.78284228,94,2,1,2,17,497.3111939,0.969869034,0.931818182,0.397058824
0.104255151,1.098214916,4,0.703646412,85,1,0,0,19,231.5111844,0.947980638,1,0.5
0.120741149,1.029941822,2,0.890033496,90,5,0,3,14,107.7622713,0.943359233,0.891891892,0.083333333
0.119815007,0.917021775,6,0.632831787,80,2,1,4,16,479.0518686,0.984146371,0.880952381,0.051282051
0.114373342,0.850862531,4,0.755936583,81,6,0,0,14,202.2573336,0.950249102,0.941176471,0.272727273
0.111144553,0.862347093,4,0.611183807,83,9,0,0,12,216.4114467,0.85950823,0.904761905,0.269230769
0.180538536,1.187624507,2,0.90366319,84,4,0,0,11,159.8074026,0.925440564,0.9,0.4375
0.189193472,1.043991819,2,0.759354173,87,4,1,2,14,184.2752385,0.925987051,0.9375,0.224137931
0.172871164,1.042942173,3,0.820351221,82,3,0,4,17,242.3372856,0.928587306,1,0.444444444
0.193146123,1.078649653,2,0.909608801,81,5,0,0,16,126.6479242,0.898630243,0.916666667,0.12
0.169713931,1.010692206,6,0.930231708,87,1,0,2,10,355.4993844,0.962752525,0.866666667,0.071428571
0.144916564,0.927385487,7,0.79435859,97,4,1,1,15,529.1193583,0.977161868,0.693877551,0
0.15203188,0.863066671,6,0.790512154,82,8,0,0,10,242.7888434,0.91837343,0.882352941,0.166666667
0.199110074,1.046595191,4,0.768145398,81,1,0,1,15,174.3610689,0.970756897,0.733333333,0
0.181155595,0.91444018,7,0.669082265,85,7,0,4,17,396.2069889,0.904970617,0.909090909,0.230769231
0.124889767,1.128083565,3,0.67251848,97,5,0,4,18,199.573285,0.889973197,0.956521739,0.333333333
0.117298183,1.122738147,3,0.699396395,91,7,1,4,10,268.0629978,0.891909224,0.980769231,0.420454545
0.119362772,1.217152648,6,0.920323237,84,8,1,4,14,922.3434559,0.913038288,0.977777778,0.301587302
0.110816978,0.944641664,3,0.655725715,82,8,1,1,13,239.8560877,0.913924157,0.915492958,0.329896907
0.154950059,1.221525936,4,0.935194274,88,2,0,4,15,259.6560374,0.971764389,0.826086957,0
0.194628942,0.933415528,7,0.859351081,99,4,0,1,11,421.9790693,0.939165762,0.857142857,0.4
0.141964843,1.150934168,6,0.841978711,96,7,1,2,11,1029.946284,0.91483766,0.9375,0.142857143
0.124232602,0.990588577,5,0.611872215,88,6,1,0,17,454.0910216,0.92875658,1,0.196428571
0.169011761,0.847356822,6,0.65585434,93,8,1,0,16,446.046317,0.918226485,0.818181818,0.027027027
0.135880499,0.93271598,4,0.889755931,99,1,1,0,10,430.6890171,0.978515991,0.777777778,0
0.174142946,1.107177945,4,0.744345693,90,8,0,3,12,224.0936392,0.895448136,0.866666667,0.380952381
0.184539054,1.123788935,5,0.662950226,95,9,0,1,14,438.9629037,0.906009134,0.888888889,0.5
0.117782466,0.992314323,3,0.738757161,83,7,0,1,12,189.0044893,0.960045648,0.375,0
0.108486535,1.162177328,6,0.648442275,88,2,1,0,10,598.9405898,0.979854138,0.929824561,0.184615385
0.16176728,0.903749446,2,0.629303375,81,1,0,0,10,107.1324489,0.916575843,0.916666667,0.371428571
0.173812792,0.827055768,7,0.644041864,84,9,1,0,19,567.6170512,0.897629432,0.5,0
0.154798439,1.073256958,4,0.90035489,83,2,0,1,16,232.8467753,0.987620163,0.705882353,0
0.187593774,0.860676044,6,0.686477878,83,7,0,3,14,250.4898156,0.931429738,0.888888889,0
0.114304926,0.854177052,6,0.85364116,82,7,0,2,18,336.0060866,0.953942017,0.333333333,0
0.174468433,1.027992417,7,0.722505939,82,7,1,1,16,711.1315975,0.925466735,0.86,0.12244898
0.187773873,0.956096976,4,0.640968832,98,9,1,1,10,366.2872525,0.792763228,0.96969697,0.58974359
0.13747794,1.093292564,3,0.903305999,90,6,0,2,19,149.8797042,0.908804849,0.928571429,0.1875
0.198414014,1.175319872,2,0.912639382,99,2,1,3,12,168.3488812,0.951665377,0.94,0.483516484
0.182542141,1.205695934,7,0.86752765,82,7,1,2,19,853.6382163,0.866654025,0.859649123,0.3
0.127735238,0.922505809,2,0.731759408,94,8,1,0,10,224.0716139,0.957296876,0.59375,0
0.1499033,0.959197723,3,0.645556755,98,1,1,0,15,343.0604771,0.936349826,0.9375,0.423076923
0.166085274,0.955648779,3,0.633018965,80,8,1,3,16,264.9938701,0.8974113,0.930232558,0.215686275
0.157748361,1.073537539,6,0.651616458,93,5,1,0,18,577.2873031,0.869716105,0.918918919,0.276595745
0.183630874,1.097826163,5,0.879178305,83,1,0,0,16,316.3442113,0.975045868,0.694444444,0
0.191522117,1.094787181,2,0.714405291,93,6,1,3,15,211.9542415,0.926714233,0.8,0.047619048
0.116998049,0.850291253,7,0.771723244,82,9,1,3,16,475.9385124,0.925641509,0.88372093,0.191489362
0.184730984,1.054185713,4,0.851898371,93,7,1,0,14,343.8690294,0.894038249,0.842105263,0.044776119
0.145746103,1.194606763,4,0.804035819,96,3,1,4,17,435.6448331,0.902162537,0.9125,0.396694215
0.131766647,1.136187032,5,0.738930041,80,7,0,1,18,328.221378,0.889813342,0.833333333,0.444444444
0.187858442,1.007991112,4,0.866878645,85,6,1,2,18,350.9590986,0.916092938,0.902777778,0.21686747
0.164503151,1.219106418,2,0.828804806,81,3,0,3,18,135.4396397,0.810381786,0.888888889,0.466666667
0.110204939,1.222592971,6,0.628605926,81,2,0,2,18,393.3560434,0.989332328,0.714285714,0
0.168562034,1.155597783,5,0.720457926,80,7,0,4,18,366.8567407,0.815430211,1,0.555555556
0.196822229,0.900962727,4,0.612772638,81,9,1,1,16,332.2585756,0.891397956,0.75,0
0.147753891,1.013471198,5,0.805975418,86,6,1,2,18,594.0742966,0.896205842,0.96969697,0.573333333
0.190878873,1.113277298,5,0.672181061,98,5,0,0,12,319.2926571,0.859554497,1,0.448275862
0.194614349,0.946700382,7,0.923783006,82,5,1,3,11,513.3010659,0.922210909,0.905405405,0.082191781
0.191047488,1.146996715,2,0.765269322,91,7,1,1,14,157.8347977,0.898396683,0.773913043,0.212389381
0.178917389,1.032150098,2,0.605227995,80,6,0,1,19,164.6840653,0.878127793,0.909090909,0.473684211
0.113823665,1.127816718,6,0.647443938,84,2,1,1,10,654.8199079,0.981909034,0.84,0.363636364
0.107199583,0.900925853,4,0.722953728,81,1,1,0,14,301.4705472,0.947928159,0.956521739,0.305263158
0.192517324,1.116416635,4,0.799715946,99,4,0,2,18,286.4912522,0.980411526,1,0.222222222
0.148831439,0.923780005,6,0.668133682,98,4,1,4,19,542.1319763,0.935217412,0.944444444,0.291666667
0.198482592,1.098461657,5,0.676319148,91,1,0,2,13,413.2269142,0.93486222,0.857142857,0.4
0.114467556,0.946556084,2,0.624595426,91,2,1,3,13,157.5430365,0.978712504,0.890625,0.304878049
0.107179523,0.96703888,6,0.658156224,80,8,1,0,13,471.6102546,0.918135049,0.960784314,0.196721311
0.112697044,1.00379639,7,0.840638294,87,8,1,3,17,680.5834495,0.947557282,0.931818182,0.127659574
0.16088807,1.215436472,7,0.604878085,97,4,0,4,12,491.2177185,0.975601225,1,0.416666667
0.110424159,0.852062734,5,0.686260623,80,6,0,3,11,109.7978288,0.88756987,0.857142857,0.538461538
0.125398184,0.835430255,6,0.886332989,91,1,0,4,15,286.3167503,0.968512088,0.928571429,0.277777778
0.149857877,0.927092758,7,0.767921143,93,3,0,1,17,330.990446,0.895835238,0.833333333,0.333333333
0.101657215,0.945273148,6,0.81994824,81,7,0,3,15,331.1324159,0.956093955,0.789473684,0
0.107958916,1.022715685,4,0.70756414,85,8,1,3,16,366.2418957,0.968485196,0.729166667,0
0.105441683,1.101493712,5,0.87605148,98,9,0,1,13,386.9616778,0.830985337,1,0.4375
0.164622936,0.903361184,6,0.768172992,90,6,0,3,17,310.3993744,0.941843049,0.75,0
0.194550039,0.933515705,5,0.728490441,95,1,1,0,17,432.6884108,0.940556549,0.898305085,0.086206897
0.188477046,1.207877248,2,0.697273015,92,8,0,3,13,131.0219533,0.89437975,0.888888889,0.058823529
0.141641892,1.148553772,4,0.904004723,95,1,1,4,11,389.4289793,0.927466048,0.977272727,0.434210526
0.184351402,1.25261134,2,0.821003794,82,5,0,0,18,107.3356898,0.868107679,0.857142857,0.5
0.154337654,1.243313708,4,0.746934049,96,4,0,4,13,364.510952,0.950729831,0.625,0.166666667
0.168461798,0.965608635,2,0.61412914,89,1,1,0,10,168.0540656,0.937944349,0.977272727,0.188679245
0.163369066,1.083993511,7,0.683703003,95,9,1,4,15,835.2133593,0.808249684,0.92,0.292307692
0.164786436,0.967034179,5,0.912021318,91,3,1,4,16,423.8286019,0.884264576,0.951219512,0.390625
0.112724307,0.959683803,5,0.723716254,99,1,1,4,11,349.5040544,0.951117988,0.941176471,0.213114754
0.197903833,1.009498079,3,0.741027204,84,9,0,1,15,177.8468309,0.867043544,0.875,0.5625
0.135671063,0.960881347,7,0.708875773,92,8,0,2,11,402.5546337,0.966038571,0.5,0
