Loc+, Acap, Aexp, Arch, Cplx, Data, Docu, Flex, Ltex, Pcap, Pcon, Plex, Pmat, Prec, Pvol, Rely, Ruse, Sced, Site, Stor, Team, Time, Tool, Risk-, Effort-
577,2,2,2,6,2,3,1,3,2,2,1,2,3,3,2,2,5,1,4,5,6,2,10,26636
745,3,2,2,6,3,3,6,2,2,2,1,1,3,4,1,4,3,2,5,1,6,3,13,97057
527,4,4,5,3,2,5,4,3,3,1,4,3,5,3,2,4,2,4,5,5,4,3,0,4188
575,3,4,1,4,4,2,4,2,2,2,3,3,3,2,5,5,2,3,4,5,6,3,12,34757
235,5,4,3,3,4,5,4,3,3,2,2,6,4,3,5,3,2,4,5,5,4,2,3,4303
634,2,2,2,5,4,5,3,4,3,2,3,1,5,4,4,2,2,4,5,3,6,4,13,35087
1536,3,2,2,1,3,3,4,2,4,2,5,6,1,5,2,6,2,3,5,3,5,4,6,41260
1091,3,4,6,5,2,2,4,4,1,3,2,2,2,4,4,3,5,1,4,1,5,3,9,46412
1722,1,3,6,1,3,4,5,2,2,3,1,3,5,3,3,2,5,4,5,2,5,1,11,26504
252,2,2,3,2,3,4,6,3,4,4,5,6,4,4,3,4,5,3,4,6,4,4,0,1392
357,2,2,4,1,4,4,3,2,3,3,3,4,2,4,4,3,3,1,6,2,5,3,5,15517
496,2,1,5,4,3,1,2,5,3,3,4,3,4,4,3,5,3,3,5,6,5,3,4,8651
708,5,5,5,6,2,3,3,3,1,4,2,6,5,3,1,4,3,4,5,3,3,1,17,5136
1937,3,3,4,5,4,2,3,2,4,3,3,6,5,5,4,5,5,5,3,6,3,1,2,36931
1952,1,5,3,2,3,4,4,2,3,3,4,5,6,2,5,2,2,2,3,6,6,4,13,18094
1926,5,2,2,5,4,4,4,4,4,3,4,5,6,3,3,4,2,4,4,1,6,2,7,70237
1657,4,4,5,4,2,1,4,2,3,4,3,4,5,4,1,3,5,2,5,3,6,4,0,16758
1809,4,5,6,4,4,5,5,4,3,5,5,3,5,2,4,4,4,2,5,5,4,3,0,9627
638,3,3,3,3,4,2,5,3,1,3,3,1,2,3,1,2,3,4,6,3,4,2,9,11851
1255,3,4,4,3,3,2,4,4,2,3,3,5,2,4,3,6,2,3,4,4,6,5,6,22978
1588,3,3,4,4,4,4,2,4,2,3,5,2,3,4,5,3,2,2,3,5,5,1,12,106404
1616,4,4,4,1,4,2,4,2,2,4,3,3,2,5,2,4,1,3,5,5,4,3,8,39773
1915,5,2,6,3,5,4,1,3,2,2,4,5,1,3,3,6,3,2,5,2,5,3,5,153371
518,2,5,2,1,4,2,6,4,5,2,2,3,2,5,3,5,2,3,5,4,4,4,4,8650
1605,4,4,5,5,2,3,3,2,3,2,3,3,5,4,5,5,1,2,5,4,5,3,12,80896
1076,2,3,3,4,3,4,5,2,2,3,2,6,3,2,2,4,4,3,3,4,6,2,7,24752
936,2,3,6,2,2,1,3,2,2,3,4,4,4,5,3,6,5,1,3,4,4,3,3,10275
599,5,2,2,2,3,2,3,3,4,2,3,6,2,3,4,4,3,2,4,1,3,4,1,6165
1758,1,5,2,3,3,3,4,1,3,4,2,5,2,4,3,3,2,2,3,3,4,5,6,28018
935,1,1,5,5,3,3,2,4,5,5,1,3,5,4,4,5,3,3,6,2,6,5,18,68148
1425,4,3,4,5,3,3,5,3,2,3,1,2,2,4,3,6,3,4,3,2,4,2,5,72319
1871,1,3,4,2,3,4,3,2,3,2,4,6,2,4,1,5,3,2,6,3,6,3,12,81445
1506,3,2,5,5,4,2,3,4,4,5,4,3,2,4,5,3,4,4,5,2,4,3,1,20433
1180,3,2,5,4,5,2,1,2,2,4,4,3,2,5,4,3,2,2,4,5,6,4,9,59223
1798,2,4,3,5,4,3,2,1,4,3,2,5,2,3,3,4,4,2,4,4,5,4,2,93757
888,2,3,4,6,3,3,4,4,2,4,4,5,2,3,2,3,1,1,3,5,5,5,16,14444
48,1,1,5,4,3,2,4,1,4,2,2,3,1,3,2,5,3,5,5,3,3,3,8,996
735,3,2,4,4,4,5,4,2,2,2,2,4,3,2,2,5,5,2,4,2,5,3,3,42973
1644,2,2,2,5,4,3,5,3,1,3,3,6,4,3,4,2,2,3,6,5,4,3,21,74244
719,3,4,3,4,5,4,1,2,4,3,4,2,4,4,5,2,2,4,5,1,4,3,4,27726
1966,1,2,2,5,3,4,2,2,5,1,4,5,3,5,1,3,5,3,4,5,6,3,6,62444
68,2,2,5,1,4,1,4,1,5,1,1,4,3,4,5,3,3,4,4,4,4,2,3,1079
1321,4,2,3,5,3,4,3,5,5,4,3,4,2,4,4,5,3,3,5,1,5,2,2,63046
1922,4,1,3,4,3,1,6,3,3,5,2,5,4,2,5,4,4,4,5,1,6,4,4,32494
1998,4,3,2,4,2,3,1,2,2,4,3,5,5,2,5,3,3,4,3,6,6,4,6,19424
629,3,2,6,5,4,5,6,4,4,2,3,3,5,5,2,4,4,5,4,1,4,2,1,14856
1143,3,5,5,2,4,3,3,3,3,1,2,2,2,4,4,3,4,2,5,1,5,3,1,75148
1396,3,3,5,3,3,3,5,2,2,1,3,3,1,3,3,6,4,3,6,5,5,4,7,70015
560,5,5,2,3,2,3,2,3,3,4,2,2,1,2,2,3,1,1,4,5,6,5,8,8152
728,3,4,6,3,2,3,3,5,1,2,4,3,5,5,3,4,2,2,5,2,3,1,8,17588
125,4,4,5,3,4,1,4,2,5,2,3,5,6,5,3,6,2,4,5,3,4,4,2,1132
1521,4,4,6,1,2,3,5,2,2,4,5,5,6,4,5,2,5,3,4,4,6,5,5,4819
947,4,4,3,4,4,4,3,1,2,2,2,1,1,3,5,3,1,3,3,6,6,2,25,62156
1556,2,4,3,4,2,2,4,2,3,2,4,3,5,4,1,3,4,2,4,5,4,3,0,20111
1606,2,3,4,5,4,4,5,1,4,4,2,5,3,3,1,4,2,3,4,4,4,4,5,41719
664,3,2,4,4,3,2,4,4,3,3,4,6,6,4,5,2,4,4,5,1,3,3,3,7388
138,3,2,2,4,4,5,1,5,2,3,2,6,4,2,3,2,2,4,4,1,3,3,6,3265
18,3,3,5,4,2,4,2,4,2,3,5,5,4,3,2,4,5,4,3,2,6,1,7,176
136,1,2,2,5,4,5,6,4,2,2,2,4,4,4,3,5,2,2,3,3,4,4,11,5365
1236,3,3,2,1,5,1,3,2,4,1,3,5,4,5,4,6,4,5,5,5,5,3,2,20601
1857,3,3,1,6,3,3,2,4,4,3,1,5,2,5,3,3,4,3,5,5,4,5,2,56044
1455,4,5,3,3,4,2,1,4,2,2,1,1,3,2,3,5,3,4,3,5,3,3,1,28975
989,4,4,3,4,5,1,5,4,2,2,2,3,2,4,4,5,2,3,3,2,4,5,2,24268
366,2,4,2,4,4,1,2,3,5,3,2,2,2,4,4,3,2,2,4,4,4,4,3,7809
663,2,2,1,5,3,4,4,2,2,4,2,5,3,3,2,5,3,3,3,4,5,2,8,31864
1613,2,2,1,4,4,2,3,3,2,2,2,5,5,2,4,2,2,5,5,4,4,2,8,38637
1995,5,1,5,2,3,2,1,3,4,3,2,2,2,3,2,2,3,3,5,4,4,3,0,26701
728,4,4,2,3,4,3,5,3,3,3,3,5,4,4,4,3,4,4,6,2,5,1,1,17342
625,4,1,6,3,5,2,3,3,1,4,3,1,1,2,4,4,1,1,4,2,3,3,20,28756
1000,5,3,5,4,3,4,3,4,2,2,2,4,2,2,3,6,5,3,4,2,5,5,1,18118
781,4,5,5,2,4,2,2,2,3,5,3,5,3,4,5,4,4,1,5,5,5,3,0,11870
1969,3,3,2,4,3,3,6,1,1,1,5,5,6,3,4,6,2,3,5,5,5,1,25,78780
407,4,2,4,1,5,1,1,4,4,3,4,5,1,4,4,6,3,4,5,3,5,3,1,9272
315,5,2,5,6,3,2,3,4,2,4,3,4,2,4,3,3,4,4,4,3,4,2,3,4038
1648,2,4,3,4,4,2,6,5,2,1,5,6,2,2,3,5,1,2,5,4,4,4,9,45603
565,1,4,5,5,4,4,3,2,3,3,5,4,4,3,4,5,4,2,4,2,4,4,6,12212
1544,2,3,3,1,3,4,4,4,2,2,3,3,5,2,3,6,2,2,4,4,5,3,5,54189
252,2,3,3,4,3,3,4,4,3,4,4,5,4,5,3,3,4,5,4,3,6,2,3,4199
668,5,3,3,4,3,3,2,3,4,3,3,2,2,4,4,3,4,1,4,3,5,4,0,24580
1481,5,4,3,2,4,2,4,4,4,4,1,2,2,3,1,5,4,2,6,4,5,1,1,23416
1905,4,4,3,6,3,2,4,5,4,3,4,4,4,5,4,5,2,3,5,5,5,4,3,35048
1938,4,2,5,5,3,4,2,5,4,2,2,3,6,4,5,6,3,3,4,2,5,5,2,75465
1012,1,3,4,5,4,3,1,4,5,1,1,6,5,3,2,5,2,1,4,6,5,4,10,28380
641,1,3,2,2,4,3,2,2,3,3,2,5,4,2,2,4,5,3,6,5,6,3,9,11065
12,1,3,3,3,3,3,3,2,5,2,4,2,4,4,4,3,1,4,4,6,5,2,18,200
1133,3,4,1,2,3,4,5,4,1,4,2,3,3,5,2,6,4,4,5,6,5,1,7,33886
1206,4,4,4,5,5,5,2,3,2,2,2,2,2,3,1,4,3,4,3,2,4,4,0,56813
1033,5,2,1,5,4,1,1,4,3,3,3,6,1,4,4,4,4,2,5,2,5,5,0,29291
1013,1,4,5,2,4,3,3,1,3,4,4,5,5,4,4,4,3,4,6,5,4,1,12,24268
1427,4,2,6,1,3,1,1,1,3,4,4,4,1,2,3,3,4,5,4,4,5,2,0,20111
1271,2,3,4,6,5,2,2,3,4,5,3,4,5,2,4,6,5,1,5,3,5,3,7,27355
1617,4,4,1,1,3,2,3,5,4,1,3,3,1,3,3,4,2,1,3,2,5,4,1,40312
468,3,3,1,4,3,2,2,5,3,3,3,3,5,3,5,2,2,5,6,6,5,3,6,4995
24,5,3,2,2,3,2,5,4,5,5,3,3,5,4,3,4,2,3,5,4,4,4,0,78
1213,3,3,2,3,3,2,5,4,4,4,4,2,1,3,4,5,2,5,4,5,5,4,1,11916
271,4,2,3,3,4,4,5,2,4,2,3,3,5,2,4,2,2,1,3,2,4,3,1,5378
1454,4,3,5,2,5,1,2,3,5,4,4,1,6,2,5,2,3,1,6,4,5,1,6,21793
1106,1,3,5,3,5,5,4,2,5,3,5,2,2,4,5,4,2,2,4,6,5,2,13,86954
1489,5,2,3,5,5,4,6,4,5,1,2,4,4,3,1,5,2,1,4,2,5,2,6,48431
1502,3,3,5,4,3,5,2,3,4,4,2,2,4,4,4,6,4,4,3,3,4,1,4,78649
1234,1,3,1,1,4,4,5,3,5,4,1,1,2,4,1,3,1,3,6,4,3,2,20,42891
213,4,4,5,2,4,1,4,3,3,4,2,1,4,5,1,5,2,2,4,2,4,3,3,3522
1517,2,1,5,3,3,1,3,2,3,4,3,2,2,5,4,5,3,4,4,4,5,3,6,89028
1709,5,4,5,3,2,2,4,5,2,2,5,1,3,3,4,4,4,2,3,2,6,2,6,33891
692,1,2,5,5,4,3,3,2,5,2,5,5,4,3,3,3,1,2,6,3,5,4,18,19488
260,5,1,2,5,3,4,6,3,3,3,2,4,2,4,4,5,1,3,5,5,4,5,12,11202
1320,5,3,3,6,3,1,2,2,4,5,1,3,2,2,3,3,1,3,4,5,4,3,11,29513
1845,4,5,4,4,3,3,4,3,4,1,4,5,2,2,4,6,1,3,5,4,5,3,4,59759
1707,2,3,2,4,3,4,3,3,3,5,1,5,2,3,3,5,4,1,4,5,4,2,0,52020
201,4,4,4,2,4,5,3,1,1,3,4,4,5,5,3,5,4,2,6,2,4,4,12,6764
1570,2,5,4,1,4,3,6,3,5,2,5,2,2,3,4,5,2,2,5,3,5,3,5,33856
1121,4,1,2,3,5,3,1,3,4,2,4,2,4,5,1,4,5,5,5,6,5,3,0,23002
1714,4,4,4,5,4,5,5,2,4,3,2,6,2,3,2,5,3,5,6,5,3,3,0,26367
1333,1,2,4,6,4,2,5,3,3,3,4,1,4,3,4,3,5,5,5,3,5,4,13,31921
382,3,4,5,2,3,1,5,3,3,1,1,6,2,4,1,3,4,5,3,2,5,3,1,2256
1642,4,4,2,2,5,2,2,2,2,3,2,2,1,2,3,4,4,3,3,2,6,3,2,48101
848,3,2,5,3,4,3,5,4,3,2,4,4,5,4,3,5,2,4,4,3,6,2,6,24945
873,1,2,4,3,3,3,6,1,2,2,5,2,3,3,5,5,4,5,6,6,4,3,19,14157
1288,5,1,1,1,4,4,5,2,5,3,3,1,2,3,3,6,5,1,5,5,5,2,7,43002
1851,3,2,4,3,5,5,3,4,2,3,1,3,4,4,5,4,3,5,3,4,3,4,5,98618
736,2,2,3,1,3,1,5,3,2,2,4,6,1,3,2,6,1,3,4,4,5,4,13,8549
399,2,4,2,3,3,5,1,3,3,5,2,2,6,3,3,3,2,2,4,6,6,2,7,16445
655,2,1,3,4,3,4,4,4,4,1,3,4,6,3,2,6,4,4,5,3,4,1,6,17229
845,1,4,1,4,4,5,6,4,3,1,4,6,4,4,4,5,2,5,4,6,6,4,12,15309
1824,1,4,3,5,4,5,5,4,3,4,2,3,5,4,5,5,3,4,5,4,5,3,12,122982
1619,2,3,2,1,4,3,4,5,1,5,5,1,4,4,3,4,3,1,3,1,5,4,8,33945
1392,5,4,3,2,5,3,3,5,4,3,4,4,5,3,5,5,4,3,5,4,3,3,0,6886
1850,1,2,3,2,3,3,3,2,1,4,2,6,4,3,3,6,3,3,3,4,5,3,16,67183
187,1,1,3,1,4,2,1,2,1,2,3,1,5,2,4,3,4,5,5,6,4,3,14,3998
1937,4,3,4,5,4,3,1,2,1,3,5,5,2,2,4,6,1,2,5,2,4,3,23,116801
1480,3,3,5,3,3,2,3,3,3,4,2,1,3,3,2,2,3,4,5,4,5,4,0,17322
864,5,4,2,2,3,4,2,2,3,2,1,3,2,3,3,4,5,4,5,3,6,2,1,17082
277,5,2,3,5,4,2,5,2,1,2,4,6,4,2,3,5,3,1,4,1,5,4,16,8127
1623,2,5,4,2,3,2,1,3,2,3,3,6,4,4,4,5,2,4,3,2,4,2,5,25397
1836,2,5,3,4,4,3,3,5,4,2,1,5,1,3,2,4,1,3,4,5,4,4,7,48714
1369,2,2,4,3,2,4,1,5,4,1,5,5,4,4,2,4,3,2,4,2,6,2,3,35379
206,2,4,5,5,3,2,5,5,2,3,3,2,2,5,2,5,5,4,5,1,4,3,3,4348
1688,1,3,2,2,5,2,1,3,3,1,3,5,2,2,2,6,2,2,6,2,3,4,8,61771
1363,3,2,3,2,2,3,3,2,2,1,3,4,5,2,3,4,4,2,4,3,4,2,0,36278
655,1,4,4,5,5,1,6,1,4,4,4,4,1,3,1,5,2,1,5,6,5,2,13,19749
63,5,3,2,2,4,4,3,4,3,5,2,4,3,4,3,3,3,3,4,5,4,1,0,682
1509,1,2,2,3,5,1,1,3,3,3,5,2,6,5,4,6,3,1,4,4,4,2,10,82566
528,4,2,2,3,3,2,2,1,1,3,3,3,4,4,2,4,3,4,4,1,4,2,9,16198
1753,3,2,4,2,3,3,1,4,4,4,5,5,4,5,2,4,4,4,3,3,3,1,0,26404
100,5,4,5,1,3,4,2,4,3,4,1,2,4,5,4,6,4,3,5,3,4,4,2,1202
745,2,2,3,5,4,4,3,3,2,1,5,4,1,5,3,3,5,4,6,2,6,2,11,68300
480,2,3,6,1,4,3,4,5,3,2,3,4,4,2,4,3,3,4,5,5,3,2,1,3107
1183,3,4,5,3,5,2,2,3,2,2,4,3,3,2,3,5,4,1,6,6,3,4,2,24962
1075,3,4,1,5,3,5,3,3,1,2,4,3,1,4,5,6,4,5,4,4,5,2,13,87854
1534,5,3,3,3,4,4,2,2,1,4,4,4,1,4,2,6,3,4,5,1,3,4,8,75466
1181,5,4,3,2,3,3,2,2,4,5,2,5,2,3,4,3,1,4,4,3,6,2,9,24420
785,2,5,5,5,5,3,3,4,2,3,4,5,2,2,3,4,4,2,3,3,6,2,8,12021
257,4,1,2,6,3,4,2,4,2,3,4,3,5,2,5,4,1,4,5,5,4,3,19,14884
545,1,3,5,2,3,5,2,2,3,1,2,4,2,3,3,3,3,3,5,1,5,2,6,33655
1317,1,3,2,5,3,4,4,3,2,4,5,2,4,3,2,3,3,4,6,3,4,5,11,33284
1521,4,1,3,2,4,3,2,4,2,4,4,2,4,4,3,4,2,3,5,4,5,1,10,62075
1260,2,4,3,4,2,2,5,3,4,2,3,5,4,3,4,4,3,4,5,3,4,4,1,13055
274,1,4,6,3,4,3,2,4,3,2,2,3,3,4,4,5,3,2,5,3,4,3,5,10605
1835,2,3,5,2,4,2,2,2,2,3,4,1,3,3,2,5,1,2,6,2,4,3,15,94592
189,4,2,1,3,2,2,3,5,3,4,1,2,2,4,3,4,3,3,5,1,5,3,2,4786
537,4,4,6,6,4,2,4,3,3,3,5,3,5,4,3,2,2,2,5,2,5,4,3,8965
1131,2,2,5,2,3,3,3,4,2,2,4,2,5,3,2,4,3,3,5,3,5,4,3,23758
1723,3,4,2,2,3,1,4,5,3,4,5,2,4,3,4,3,4,5,5,4,5,4,0,3735
1394,2,5,5,2,4,5,5,4,2,1,1,3,5,3,3,5,5,4,5,4,4,1,3,36722
1729,4,4,6,3,3,3,6,2,1,3,4,2,3,2,3,3,4,4,5,1,5,2,7,38412
1328,3,1,5,3,3,4,3,4,4,4,1,1,3,2,2,3,4,3,4,5,4,2,0,20050
1374,2,3,4,4,3,3,4,3,5,2,4,5,4,4,4,4,2,3,5,1,4,5,3,40097
1141,1,5,6,3,2,4,3,5,4,3,3,5,6,3,2,2,2,1,3,5,4,3,2,4344
1849,3,1,5,4,3,4,4,5,4,2,3,3,4,3,5,3,4,4,3,3,6,4,2,27627
1561,4,3,4,3,3,4,2,4,2,1,2,6,3,3,3,3,3,2,3,1,4,2,2,28680
1386,2,4,6,4,3,5,3,3,5,2,1,3,2,4,4,6,5,4,5,2,5,5,4,40670
1946,3,2,2,2,3,4,1,2,3,2,2,3,5,4,1,5,1,3,3,1,6,4,17,75294
1031,4,3,5,2,3,2,5,3,4,2,1,2,5,2,3,5,2,2,6,4,4,4,1,17295
1859,4,2,1,4,5,3,2,5,5,2,2,4,3,5,4,5,2,2,5,5,4,1,6,179180
1453,4,1,3,3,5,2,3,3,4,4,3,6,2,3,5,5,4,5,6,5,4,4,1,29010
529,5,4,1,3,2,2,5,2,5,3,4,4,6,3,1,5,3,4,5,4,4,3,0,2761
838,3,4,2,3,5,4,5,5,4,5,1,3,3,2,3,2,3,3,6,1,5,4,1,8637
1786,2,4,5,2,2,2,6,1,4,2,5,1,3,2,4,4,4,2,4,3,4,3,4,31473
1014,3,1,2,4,5,3,3,3,5,2,5,6,5,2,1,5,1,3,6,3,5,1,13,15406
1681,3,4,6,5,5,3,1,5,5,4,4,5,5,3,2,5,4,4,4,3,4,5,0,8709
65,5,2,6,5,4,5,2,5,4,4,4,4,4,3,3,6,5,4,4,2,4,4,1,424
244,1,4,3,5,4,3,5,1,3,3,2,5,6,2,3,2,5,4,5,3,6,2,12,5690
414,2,4,5,3,3,5,2,5,5,2,4,5,3,4,1,5,4,4,4,5,4,4,0,2819
127,2,4,6,2,2,1,5,3,2,3,4,2,5,3,3,3,3,1,3,6,4,4,0,542
1957,2,3,3,4,2,4,4,3,4,2,3,5,3,3,2,3,4,1,3,5,4,1,1,34581
1603,3,3,5,2,2,1,6,5,5,1,3,4,6,3,5,2,3,4,6,2,3,3,1,4052
891,2,3,5,2,4,4,5,3,3,2,3,3,3,2,3,4,2,4,3,4,4,1,2,13324
561,3,1,5,4,3,2,2,3,1,4,1,3,3,3,3,3,5,2,5,4,5,2,7,21674
770,2,2,4,5,4,3,5,4,1,2,5,2,5,4,2,5,2,3,5,5,5,3,14,27258
216,4,3,3,5,3,4,1,2,5,1,4,2,6,3,3,4,2,5,3,2,5,5,1,3398
74,4,2,3,6,3,2,4,4,4,2,4,3,2,3,5,2,2,3,4,3,4,4,4,773
650,5,5,1,3,4,3,5,5,5,2,1,6,5,4,5,4,2,4,5,4,5,5,4,7161
1157,2,4,2,2,2,5,3,4,2,4,1,4,3,3,5,5,4,2,3,3,6,1,11,64241
750,2,3,4,5,4,4,5,3,2,1,4,5,4,4,2,5,2,5,5,3,3,1,12,23580
564,2,3,5,2,4,4,4,5,1,3,3,3,2,5,5,3,1,4,4,4,3,2,20,11019
1460,2,1,5,4,3,2,1,3,4,2,3,1,2,2,1,2,1,1,5,3,6,3,16,75379
1486,4,2,1,6,5,4,3,2,4,5,4,3,2,2,2,2,4,4,6,3,4,2,1,40597
794,3,2,2,3,3,2,1,5,4,2,4,2,4,2,2,3,4,3,5,2,5,4,0,9961
196,4,4,4,5,3,4,1,5,4,4,3,4,2,4,3,4,4,5,4,4,6,2,1,2144
1104,2,2,6,4,4,2,3,4,3,4,5,4,4,5,2,3,3,2,4,3,4,1,1,22325
317,5,4,6,4,3,3,2,4,2,5,2,6,3,4,3,5,4,2,4,2,5,3,2,4449
1486,3,4,2,2,3,5,6,5,5,4,3,2,5,4,4,3,2,2,5,5,5,4,1,25596
1313,5,4,3,5,3,3,2,1,1,3,3,3,2,5,1,2,4,3,4,5,6,2,12,27973
463,5,4,2,2,4,5,5,2,2,2,1,4,5,4,2,3,1,1,5,1,5,1,20,25754
446,1,3,2,3,5,2,4,5,1,2,4,5,3,5,2,2,1,4,5,3,5,3,21,14589
757,5,4,2,4,3,2,5,2,3,4,4,3,1,5,2,6,3,3,4,4,5,4,1,14193
254,4,4,2,2,2,3,4,3,3,4,3,3,4,2,3,5,4,2,3,2,3,5,0,1758
1494,3,3,4,2,3,3,4,2,3,4,2,4,2,5,2,3,4,5,4,3,5,4,0,16382
1303,1,2,2,4,3,4,5,5,3,5,1,1,6,2,4,6,5,2,5,5,5,4,12,37107
512,4,4,2,2,4,1,5,4,2,2,3,4,4,2,4,4,2,4,4,3,5,4,3,7340
1600,3,1,2,2,5,4,1,3,5,4,1,5,5,2,2,3,3,1,5,5,4,5,1,29820
231,2,3,2,5,5,3,5,2,1,4,5,5,1,4,3,5,4,3,5,1,5,2,15,14997
1750,2,2,5,4,4,3,6,5,1,1,2,2,2,2,1,5,5,3,4,4,5,1,11,47926
444,2,3,2,3,5,5,2,1,5,4,2,4,2,4,4,5,2,2,3,6,6,1,12,53333
576,3,2,5,1,3,2,6,3,3,5,3,5,5,4,1,5,1,3,4,1,3,1,11,7221
273,3,3,3,4,3,3,5,2,4,5,2,5,4,5,4,4,3,3,3,2,5,2,0,6778
1716,5,4,5,4,3,4,4,2,4,3,1,1,2,3,4,5,3,2,6,4,6,5,4,60921
301,1,2,4,3,4,4,1,4,2,5,1,2,4,5,4,5,2,1,4,4,5,2,19,28095
1705,3,4,2,4,5,4,6,2,5,1,3,2,3,3,2,4,4,4,5,6,3,4,0,14151
1844,3,2,1,4,2,4,5,3,1,4,1,2,1,2,4,4,5,4,5,1,6,4,12,109269
1617,2,2,6,3,4,4,6,3,3,5,3,1,3,3,5,3,2,2,5,3,6,2,18,54476
935,3,5,5,2,3,4,1,5,2,1,3,4,3,3,3,4,2,4,5,4,5,2,3,14605
1945,4,2,2,1,2,2,5,5,3,2,3,5,2,4,5,6,3,4,4,5,5,3,2,30045
234,3,3,5,1,2,3,4,1,3,2,2,6,3,4,4,4,1,3,4,3,6,2,18,5840
830,5,2,5,1,2,5,5,5,1,4,5,5,2,3,1,2,2,4,5,5,4,4,7,2001
1563,5,3,3,3,3,5,5,3,4,4,5,4,4,3,4,4,3,5,4,5,5,3,0,9946
944,3,2,5,4,4,2,3,1,3,4,4,3,3,3,5,6,5,4,6,6,4,4,11,25373
1919,2,2,5,4,3,2,3,4,2,2,2,1,4,4,2,2,2,4,4,1,4,1,12,58193
335,2,1,1,5,5,2,5,2,4,4,2,3,5,3,3,6,3,1,4,2,4,2,10,18743
1273,5,4,1,2,2,3,4,3,2,2,4,5,4,2,5,6,4,3,4,5,3,4,3,12394
65,3,1,2,3,5,4,3,3,2,2,5,3,5,4,3,4,2,4,4,3,6,1,12,4055
1499,1,4,3,2,3,3,3,5,2,1,1,4,5,4,4,3,3,2,5,3,6,3,14,65682
28,2,2,4,3,4,2,4,3,1,1,3,1,6,4,1,3,2,5,3,4,4,4,7,401
1837,4,3,5,6,3,1,3,4,3,5,2,2,1,5,5,2,2,2,6,5,3,1,15,67236
1692,3,3,5,6,4,3,3,3,4,4,2,4,5,5,2,5,3,5,4,2,5,5,2,46544
851,2,4,2,4,5,2,5,3,2,4,1,4,4,2,2,4,2,4,5,5,6,3,11,27838
1123,4,4,3,4,4,2,4,3,2,1,5,1,2,4,2,3,1,4,3,2,4,5,7,27712
1296,3,2,4,4,5,2,3,5,3,2,5,5,6,2,4,6,2,4,5,2,5,3,3,17716
1310,4,1,4,2,2,4,3,2,2,2,5,3,1,2,4,5,2,1,6,4,4,2,9,118489
1609,1,4,4,5,4,1,3,2,3,1,5,4,4,5,4,3,4,5,4,6,5,2,8,40015
1240,5,5,2,3,3,5,5,3,2,3,2,1,4,3,3,2,2,4,4,2,4,2,4,36050
88,3,3,3,2,4,3,2,1,5,3,4,3,3,3,2,5,2,3,6,2,3,4,3,1295
513,2,3,5,5,3,5,5,1,1,2,4,6,5,5,1,3,3,4,5,4,4,4,14,14980
1793,3,3,6,5,3,2,4,3,2,5,1,1,6,5,3,3,4,4,5,2,3,3,4,28969
1871,3,3,3,2,5,4,4,4,3,4,3,5,5,3,2,5,3,4,4,5,4,5,0,15107
1405,1,5,5,3,2,3,2,3,2,5,2,5,4,2,1,4,4,2,5,4,5,2,7,14325
830,4,5,4,3,5,4,3,3,3,4,1,4,3,3,2,3,3,3,4,3,3,2,0,15082
1276,2,1,5,4,5,4,6,4,4,3,4,3,5,5,1,6,5,2,5,2,3,1,7,32233
